opus-number,opus-avg-speed,opus-avg-vision,opus-avg-htr,opus-avg-age,hachi-number,hachi-avg-speed,hachi-avg-vision,hachi-avg-htr,hachi-avg-age,plant-number
40,3.4912333,71.424324,4.523959,69.339676,10,3.163012,48.01305,6.6062074,70.83474,71
38,3.5387473,70.29472,4.476902,77.93451,10,3.163012,48.01305,6.6062074,80.1505,44
43,3.6354346,74.02288,4.313574,6.144473,10,3.163012,48.01305,6.6062074,6.4473853,34
39,3.6462965,73.06399,4.3756356,16.932901,10,3.163012,48.01305,6.6062074,17.816704,13
40,3.6609833,73.267685,4.3217206,37.302624,10,3.163012,48.01305,6.6062074,39.185146,9
39,3.700788,74.301956,4.367157,49.406033,10,3.163012,48.01305,6.6062074,51.403862,10
41,3.7469091,74.13907,4.2623706,54.77018,10,3.163012,48.01305,6.6062074,57.478294,10
41,3.7469091,74.13907,4.2623706,57.947575,10,3.163012,48.01305,6.6062074,60.812786,10
42,3.7087932,74.30746,4.26572,60.178474,10,3.163012,48.01305,6.6062074,62.53837,10
42,3.729818,74.0876,4.2347975,60.89916,10,3.163012,48.01305,6.6062074,63.41518,10
40,3.7087188,73.66704,4.2183385,61.733887,10,3.163012,48.01305,6.6062074,63.77772,10
40,3.7087188,73.66704,4.2183385,62.01711,10,3.163012,48.01305,6.6062074,64.07033,10
41,3.7287102,72.81712,4.169575,63.01191,10,3.163012,48.01305,6.6062074,64.32004,10
41,3.7287102,72.81712,4.169575,63.07162,10,3.163012,48.01305,6.6062074,64.38101,10
41,3.7287102,72.81712,4.169575,63.08836,10,3.163012,48.01305,6.6062074,64.3981,10
41,3.7287102,72.81712,4.169575,63.121494,10,3.163012,48.01305,6.6062074,64.431885,10
39,3.7727435,72.266045,4.1149225,61.75929,10,3.163012,48.01305,6.6062074,64.42737,10
39,3.7727435,72.266045,4.1149225,61.741116,10,3.163012,48.01305,6.6062074,64.40842,9
40,3.791634,71.4299,4.0675254,62.52468,10,3.163012,48.01305,6.6062074,64.403824,8
40,3.9077907,72.253174,4.1230016,63.897175,10,3.163012,48.01305,6.6062074,64.502,10
39,3.8632011,70.22955,3.9478114,60.788555,10,3.163012,48.01305,6.6062074,64.35153,10
39,3.8632011,70.22955,3.9478114,60.922394,10,3.163012,48.01305,6.6062074,64.49322,9
38,3.8723555,70.121704,3.9051254,60.643585,10,3.163012,48.01305,6.6062074,64.33696,9
37,3.9200246,70.72692,3.9417584,61.199245,10,3.163012,48.01305,6.6062074,64.28411,10
37,3.9200246,70.72692,3.9417584,61.291687,10,3.163012,48.01305,6.6062074,64.381195,9
36,4.028914,72.69156,4.051252,63.039463,10,3.163012,48.01305,6.6062074,64.42742,10
36,3.9031262,71.61321,3.9896116,60.44473,10,3.163012,48.01305,6.6062074,64.423874,9
36,3.9031262,71.61321,3.9896116,60.395874,10,3.163012,48.01305,6.6062074,64.37179,11
36,3.9031262,71.61321,3.9896116,60.391098,10,3.163012,48.01305,6.6062074,64.36671,10
37,3.9196744,71.31863,4.0079513,59.71149,10,3.163012,48.01305,6.6062074,64.38573,10
36,3.9107797,71.55356,3.9915717,58.647713,10,3.163012,48.01305,6.6062074,64.337875,12
35,3.8839734,72.834885,3.9538233,57.947914,10,3.163012,48.01305,6.6062074,64.303604,10
35,3.8839734,72.834885,3.9538233,57.919506,10,3.163012,48.01305,6.6062074,64.272095,12
36,3.9146924,73.06757,3.9056349,57.773148,10,3.163012,48.01305,6.6062074,64.44158,11
36,3.9146924,73.06757,3.9056349,57.708103,10,3.163012,48.01305,6.6062074,64.369026,11
36,3.9146924,73.06757,3.9056349,57.710205,10,3.163012,48.01305,6.6062074,64.371376,10
36,3.9146924,73.06757,3.9056349,57.704117,10,3.163012,48.01305,6.6062074,64.36458,11
34,4.0204463,74.97709,4.0701127,59.10869,10,3.163012,48.01305,6.6062074,64.28603,10
34,3.9390838,73.83531,3.9190502,56.337685,10,3.163012,48.01305,6.6062074,64.2482,10
33,3.9544117,73.978775,3.930826,56.8379,10,3.163012,48.01305,6.6062074,64.27588,10
33,3.9544117,75.11616,3.9340816,57.194542,9,3.20179,44.917862,6.7183537,65.26169,11
34,3.9626281,75.29544,3.883639,57.510864,9,3.20179,44.917862,6.7183537,65.35334,10
33,3.9419117,75.73731,3.9340816,57.692722,9,3.20179,44.917862,6.7183537,65.33781,10
33,3.9419117,75.73731,3.9340816,57.70449,9,3.20179,44.917862,6.7183537,65.35114,10
34,3.9626281,75.56725,3.9222102,57.528988,9,3.20179,44.917862,6.7183537,65.37393,10
33,3.9544117,75.39621,3.90764,57.787277,9,3.20179,44.917862,6.7183537,65.3168,10
32,3.9575043,75.72577,3.9604092,58.084377,9,3.20179,44.917862,6.7183537,65.41353,12
30,3.9963727,74.59761,3.9654405,57.996685,9,3.20179,44.917862,6.7183537,65.38397,14
30,3.9963727,74.59761,3.9654405,57.997208,9,3.20179,44.917862,6.7183537,65.384575,14
30,3.9963727,74.59761,3.9654405,57.906296,9,3.20179,44.917862,6.7183537,65.282074,14
30,3.9963727,74.59761,3.9654405,58.00512,9,3.20179,44.917862,6.7183537,65.39351,13
32,4.033465,76.556564,3.9494252,57.051144,9,3.20179,44.917862,6.7183537,65.37291,9
