opus-number,opus-avg-speed,opus-avg-vision,opus-avg-htr,opus-avg-age,hachi-number,hachi-avg-speed,hachi-avg-vision,hachi-avg-htr,hachi-avg-age,plant-number
40,138.17368,2843.566,165.89804,3038.3188,10,34.44394,583.97253,73.65212,849.98584,70
41,141.48457,2882.4338,166.66292,8828.148,10,34.44394,583.97253,73.65212,2394.9265,49
41,141.78308,2973.1177,160.0552,1037.3008,10,34.44394,583.97253,73.65212,273.7336,40
40,138.24303,2898.0005,157.04622,236.46324,10,34.44394,583.97253,73.65212,65.978836,23
40,135.47002,2908.401,153.727,1247.642,10,34.44394,583.97253,73.65212,345.32907,20
40,135.47002,2908.401,153.727,1968.8005,10,34.44394,583.97253,73.65212,544.93524,17
41,138.78603,2963.8127,155.8185,2385.0493,10,34.44394,583.97253,73.65212,640.7223,19
42,143.14403,3019.7,159.7971,2653.3958,10,34.44394,583.97253,73.65212,696.5273,14
42,143.14403,3019.7,159.7971,2759.9143,10,34.44394,583.97253,73.65212,724.48865,12
44,149.77605,3098.2039,165.7289,2962.4338,10,34.44394,583.97253,73.65212,739.0789,11
44,151.07877,3101.2769,166.87956,2972.5393,10,34.44394,583.97253,73.65212,746.03406,9
44,151.07877,3101.2769,166.87956,2990.1567,10,34.44394,583.97253,73.65212,750.4556,12
42,142.84708,2913.3838,159.31706,2895.8186,10,34.44394,583.97253,73.65212,759.9945,14
42,142.84708,2913.3838,159.31706,2865.4211,10,34.44394,583.97253,73.65212,752.0167,12
36,120.34648,2488.4424,137.3829,2451.832,10,34.44394,583.97253,73.65212,753.9383,12
35,120.34648,2488.4424,137.3829,2449.6458,10,34.44394,583.97253,73.65212,753.26587,12
34,112.60806,2351.5994,129.81506,2350.053,10,34.44394,583.97253,73.65212,753.36237,12
30,99.900116,2080.636,116.88629,2119.986,10,34.44394,583.97253,73.65212,754.546,12
30,99.900116,2080.636,116.88629,2115.9893,10,34.44394,583.97253,73.65212,753.12354,11
30,99.900116,2080.636,116.88629,2117.945,10,34.44394,583.97253,73.65212,753.8196,9
30,99.900116,2080.636,116.88629,2114.3416,11,38.325558,645.81256,80.06673,842.463,10
31,103.03572,2181.979,120.91648,2185.892,11,38.325558,645.81256,80.06673,844.1469,10
30,100.710526,2116.1116,118.5629,2096.7734,11,38.325558,645.81256,80.06673,845.04785,11
30,100.710526,2116.1116,118.5629,2092.4045,11,38.325558,645.81256,80.06673,843.2872,10
29,100.710526,2116.1116,118.5629,2096.1968,11,38.325558,645.81256,80.06673,844.81555,10
29,97.323715,2064.5906,115.05101,2053.5154,11,38.325558,645.81256,80.06673,843.6654,10
29,97.323715,2064.5906,115.05101,2054.1948,11,38.325558,645.81256,80.06673,843.9445,10
29,97.323715,2064.5906,115.05101,2052.1155,11,38.325558,645.81256,80.06673,843.0904,10
29,97.323715,2064.5906,115.05101,2055.6853,11,38.325558,645.81256,80.06673,844.55707,10
29,97.323715,2064.5906,115.05101,2055.3926,11,38.325558,645.81256,80.06673,844.4366,10
29,97.323715,2064.5906,115.05101,2052.3047,11,38.325558,645.81256,80.06673,843.168,10
29,97.323715,2064.5906,115.05101,2052.5635,11,38.325558,645.81256,80.06673,843.27454,10
26,89.18945,1935.2869,107.990486,1969.7069,11,38.325558,645.81256,80.06673,842.4299,11
26,86.23872,1762.2594,102.625534,1880.9873,11,38.325558,645.81256,80.06673,842.844,10
26,86.23872,1762.2594,102.625534,1885.3389,11,38.325558,645.81256,80.06673,844.79376,9
25,83.005325,1644.4359,96.40272,1792.5896,11,38.325558,645.81256,80.06673,843.70984,10
25,83.005325,1644.4359,96.40272,1791.5275,11,38.325558,645.81256,80.06673,843.2099,11
22,79.689316,1605.1841,93.43682,1710.8157,11,38.325558,645.81256,80.06673,844.0918,10
19,63.427784,1352.5366,80.70375,1322.4087,11,38.325558,645.81256,80.06673,845.2907,9
21,69.50346,1478.794,87.32251,1426.5059,11,38.325558,645.81256,80.06673,843.38586,11
21,69.50346,1478.794,87.32251,1429.3483,11,38.325558,645.81256,80.06673,845.0663,10
21,69.50346,1478.794,87.32251,1426.4807,11,38.325558,645.81256,80.06673,843.371,9
21,69.50346,1478.794,87.32251,1429.397,11,38.325558,645.81256,80.06673,845.095,11
22,72.859886,1530.5023,90.8344,1497.0349,11,38.325558,645.81256,80.06673,845.2297,10
22,72.859886,1530.5023,90.8344,1495.7463,11,38.325558,645.81256,80.06673,844.50214,11
20,70.60228,1490.215,84.22539,1458.0875,11,38.325558,645.81256,80.06673,844.1227,10
20,67.624794,1388.8722,78.976,1363.3204,11,38.325558,645.81256,80.06673,844.81256,10
20,67.624794,1388.8722,78.976,1361.6205,11,38.325558,645.81256,80.06673,843.75934,12
20,67.624794,1388.8722,78.976,1364.2896,11,38.325558,645.81256,80.06673,845.41315,12
19,64.308784,1349.6202,76.32978,1296.4746,11,38.325558,645.81256,80.06673,845.1587,11
19,64.308784,1349.6202,76.32978,1292.909,11,38.325558,645.81256,80.06673,842.8342,11
19,64.308784,1349.6202,76.32978,1294.55,11,38.325558,645.81256,80.06673,843.9041,11
19,64.308784,1349.6202,76.32978,1294.1324,11,38.325558,645.81256,80.06673,843.632,10
18,61.173176,1265.3893,71.24961,1220.6989,11,38.325558,645.81256,80.06673,844.91315,10
18,61.173176,1265.3893,71.24961,1218.4285,11,38.325558,645.81256,80.06673,843.34174,11
17,58.53714,1177.9872,65.31568,1134.5935,11,38.325558,645.81256,80.06673,844.7768,11
16,55.221134,1138.7354,62.34978,1049.961,11,38.325558,645.81256,80.06673,843.1865,10
16,55.221134,1138.7354,62.34978,1051.994,11,38.325558,645.81256,80.06673,844.8192,10
17,59.839302,1231.6129,65.18859,1116.3665,11,38.325558,645.81256,80.06673,843.8353,10
17,59.839302,1231.6129,65.18859,1116.3478,11,38.325558,645.81256,80.06673,843.82135,10
17,59.839302,1231.6129,65.18859,1115.9972,11,38.325558,645.81256,80.06673,843.5562,11
17,59.839302,1231.6129,65.18859,1117.3295,11,38.325558,645.81256,80.06673,844.56335,10
17,59.839302,1231.6129,65.18859,1114.9307,11,38.325558,645.81256,80.06673,842.7503,11
16,56.501072,1156.8765,62.542374,1050.4117,11,38.325558,645.81256,80.06673,844.9166,10
16,56.501072,1156.8765,62.542374,1050.8494,11,38.325558,645.81256,80.06673,845.2687,10
15,51.882904,1063.9989,59.70356,984.9802,11,38.325558,645.81256,80.06673,845.1311,11
14,47.96611,1001.5315,56.930252,873.4003,10,36.00845,587.5222,72.96696,763.1513,11
14,47.96611,1001.5315,56.930252,872.6946,9,32.046234,561.1618,65.49438,677.692,12
14,47.96611,1001.5315,56.930252,873.2168,9,32.046234,561.1618,65.49438,678.0976,12
13,44.60969,949.8232,53.41837,804.94165,9,32.046234,561.1618,65.49438,677.28094,12
13,44.60969,949.8232,53.41837,805.66046,9,32.046234,561.1618,65.49438,677.8858,12
12,41.872246,856.94556,50.579556,740.24304,9,32.046234,561.1618,65.49438,678.0369,12
11,37.254078,782.30786,46.89855,672.40796,9,32.046234,561.1618,65.49438,677.49615,12
11,37.254078,782.30786,46.89855,671.2266,8,28.164618,499.32175,59.13237,586.46405,11
11,37.254078,782.30786,46.89855,671.53467,8,28.164618,499.32175,59.13237,586.7332,11
11,37.254078,782.30786,46.89855,672.2171,8,28.164618,499.32175,59.13237,587.3294,10
11,37.254078,782.30786,46.89855,672.4949,8,28.164618,499.32175,59.13237,587.57214,12
11,37.254078,782.30786,46.89855,672.6631,8,28.164618,499.32175,59.13237,587.71906,13
11,37.254078,782.30786,46.89855,672.25116,8,28.164618,499.32175,59.13237,587.35925,13
12,41.872246,856.94556,50.579556,752.17236,8,28.164618,499.32175,59.13237,588.15796,13
12,41.872246,856.94556,50.579556,752.8436,8,28.164618,499.32175,59.13237,588.68286,13
12,41.872246,856.94556,50.579556,751.15533,8,28.164618,499.32175,59.13237,587.36273,11
12,41.872246,856.94556,50.579556,752.3689,8,28.164618,499.32175,59.13237,588.31177,12
12,41.872246,856.94556,50.579556,751.4253,8,28.164618,499.32175,59.13237,587.5738,13
12,41.872246,856.94556,50.579556,751.9194,8,28.164618,499.32175,59.13237,587.96014,11
12,41.872246,856.94556,50.579556,752.78564,8,28.164618,499.32175,59.13237,588.6375,11
12,41.872246,856.94556,50.579556,753.13007,8,28.164618,499.32175,59.13237,588.9068,11
12,41.872246,856.94556,50.579556,755.1794,8,28.164618,499.32175,59.13237,590.5092,11
12,41.872246,856.94556,50.579556,749.4343,8,28.164618,499.32175,59.13237,586.01697,10
12,41.872246,856.94556,50.579556,750.04956,8,28.164618,499.32175,59.13237,586.49805,10
11,39.63811,737.9331,44.38551,693.3732,8,28.164618,499.32175,59.13237,588.18445,10
11,39.63811,737.9331,44.38551,693.5842,8,28.164618,499.32175,59.13237,588.36334,10
11,39.63811,737.9331,44.38551,707.64923,8,28.164618,499.32175,59.13237,600.2946,11
10,34.910034,619.3172,38.05329,613.256,8,28.164618,499.32175,59.13237,571.46094,11
10,34.910034,619.3172,38.05329,620.43494,8,28.164618,499.32175,59.13237,578.1506,11
10,34.910034,619.3172,38.05329,625.5612,8,28.164618,499.32175,59.13237,582.9274,11
10,34.910034,619.3172,38.05329,627.1386,8,28.164618,499.32175,59.13237,584.39734,11
10,34.910034,619.3172,38.05329,629.422,8,28.164618,499.32175,59.13237,586.5252,12
9,34.910034,619.3172,38.05329,630.6299,8,28.164618,499.32175,59.13237,587.65076,12
8,26.961163,493.15863,30.860401,523.8375,8,28.164618,499.32175,59.13237,587.9698,14
8,26.961163,493.15863,30.860401,523.6732,8,28.164618,499.32175,59.13237,587.7853,15
7,24.22372,441.63776,28.021587,484.14325,8,28.164618,499.32175,59.13237,588.1415,16
7,24.22372,441.63776,28.021587,484.19534,8,28.164618,499.32175,59.13237,588.2047,15
7,24.22372,441.63776,28.021587,492.55667,8,28.164618,499.32175,59.13237,598.3622,15
7,24.22372,441.63776,28.021587,483.75964,7,24.148674,416.71008,52.72821,532.93506,16
7,24.22372,441.63776,28.021587,484.21307,7,24.148674,416.71008,52.72821,533.4347,15
6,20.836914,390.11688,24.049042,444.79434,7,24.148674,416.71008,52.72821,533.95593,15
6,20.836914,390.11688,24.049042,444.65305,7,24.148674,416.71008,52.72821,533.78625,15
6,20.836914,390.11688,24.049042,443.9822,7,24.148674,416.71008,52.72821,532.981,18
5,16.21248,334.2296,20.405178,345.88324,7,24.148674,416.71008,52.72821,533.5602,19
5,16.21248,334.2296,20.405178,346.1911,7,24.148674,416.71008,52.72821,534.03516,20
5,16.21248,334.2296,20.405178,345.69833,7,24.148674,416.71008,52.72821,533.27496,22
5,16.21248,334.2296,20.405178,346.28625,7,24.148674,416.71008,52.72821,534.1819,22
5,16.21248,334.2296,20.405178,346.20258,7,24.148674,416.71008,52.72821,534.0528,24
5,16.21248,334.2296,20.405178,345.3874,7,24.148674,416.71008,52.72821,532.7953,25
5,16.21248,334.2296,20.405178,345.29718,7,24.148674,416.71008,52.72821,532.6562,25
5,16.21248,334.2296,20.405178,345.8426,7,24.148674,416.71008,52.72821,533.4975,27
5,16.21248,334.2296,20.405178,345.44925,7,24.148674,416.71008,52.72821,532.89075,26
4,11.594314,259.59192,16.724173,266.5983,7,24.148674,416.71008,52.72821,533.05994,27
4,11.594314,259.59192,16.724173,266.5783,7,24.148674,416.71008,52.72821,533.0199,30
4,11.594314,259.59192,16.724173,266.67496,7,24.148674,416.71008,52.72821,533.21326,32
4,11.594314,259.59192,16.724173,266.85938,7,24.148674,416.71008,52.72821,533.582,35
4,11.594314,259.59192,16.724173,266.96747,7,24.148674,416.71008,52.72821,533.7981,36
4,11.594314,259.59192,16.724173,267.17224,7,24.148674,416.71008,52.72821,534.2075,38
4,11.594314,259.59192,16.724173,266.5126,7,24.148674,416.71008,52.72821,532.8887,40
4,11.594314,259.59192,16.724173,266.80435,7,24.148674,416.71008,52.72821,533.472,40
4,11.594314,259.59192,16.724173,266.6443,7,24.148674,416.71008,52.72821,533.1519,41
4,11.594314,259.59192,16.724173,266.5582,7,24.148674,416.71008,52.72821,532.97974,43
4,11.594314,259.59192,16.724173,266.44946,7,24.148674,416.71008,52.72821,532.7624,46
4,11.594314,259.59192,16.724173,267.07886,7,24.148674,416.71008,52.72821,534.0208,49
4,11.594314,259.59192,16.724173,267.21054,7,24.148674,416.71008,52.72821,534.2841,51
4,11.594314,259.59192,16.724173,266.86316,7,24.148674,416.71008,52.72821,533.58954,54
5,14.331757,315.47922,23.125103,348.6436,7,24.148674,416.71008,52.72821,532.77356,55
